word	ipa	language	pos	concept	label
nirvana	nɪrvɑnə	english	noun	nirvana	1
grow	groʊ	english	verb	grow	0
bungalow	bʌŋgəloʊ	english	noun	bungalow	1
plant	plænt	english	noun	plant	0
jungle	dʒʌŋgəl	english	noun	jungle	1
harvest	hɑrvəst	english	noun	harvest	0
pajamas	pədʒɑməz	english	noun	pajamas	1
cook	kʊk	english	verb	cook	0
shampoo	ʃæmpu	english	noun	shampoo	1
bake	beɪk	english	verb	bake	0
thug	θʌg	english	noun	thug	1
draw	drɔ	english	verb	draw	0
avatar	ævətɑr	english	noun	avatar	1
paint	peɪnt	english	verb	paint	0
guru	guru	english	noun	guru	1
play	pleɪ	english	verb	play	0
voodoo	vudu	english	noun	voodoo	1
study	stʌdi	english	verb	study	0
marimba	mərɪmbə	english	noun	marimba	1
teach	titʃ	english	verb	teach	0
mojo	moʊdʒoʊ	english	noun	mojo	1
help	hɛlp	english	verb	help	0
banjo	bændʒoʊ	english	noun	banjo	1
ask	æsk	english	verb	ask	0
tundra	tʌndrə	english	noun	tundra	1
answer	ænsər	english	verb	answer	0
anorak	ænəræk	english	noun	anorak	1
call	kɔl	english	verb	call	0
toboggan	təbɑgən	english	noun	toboggan	1
name	neɪm	english	noun	name	0
boomerang	buməræŋ	english	noun	boomerang	1
listen	lɪsən	english	verb	listen	0
kangaroo	kæŋgəru	english	noun	kangaroo	1
animal	ænəməl	english	noun	animal	1
artist	ɑrtɪst	english	noun	artist	1
bank	bæŋk	english	noun	bank	0
capital	kæpɪtəl	english	noun	capital	1
center	sɛntər	english	noun	center	1
cinema	sɪnəmə	english	noun	cinema	1
city	sɪti	english	noun	city	1
color	kʌlər	english	noun	color	1
comedy	kɑmədi	english	noun	comedy	1
culture	kʌltʃər	english	noun	culture	1
doctor	dɑktər	english	noun	doctor	1
drama	drɑmə	english	noun	drama	1
economy	ikɑnəmi	english	noun	economy	1
emotion	imoʊʃən	english	noun	emotion	1
energy	ɛnərdʒi	english	noun	energy	1
example	ɪɡzæmpəl	english	noun	example	1
family	fæməli	english	noun	family	1
festival	fɛstəvəl	english	noun	festival	1
form	fɔrm	english	noun	form	1
function	fʌŋkʃən	english	noun	function	1
hospital	hɑspɪtəl	english	noun	hospital	1
idea	aɪdiə	english	noun	idea	1
industry	ɪndəstri	english	noun	industry	1
information	ɪnfɔrmeɪʃən	english	noun	information	1
instrument	ɪnstrəmənt	english	noun	instrument	1
intelligence	ɪntɛlədʒəns	english	noun	intelligence	1
internet	ɪntərnɛt	english	noun	internet	0
interest	ɪntrəst	english	noun	interest	1
international	ɪntərnæʃənəl	english	noun	international	1
justice	dʒʌstɪs	english	noun	justice	1
language	læŋɡwɪdʒ	english	noun	language	1
logic	lɑdʒɪk	english	noun	logic	1
manual	mænjuəl	english	noun	manual	1
map	mæp	english	noun	map	0
material	mətɪriəl	english	noun	material	1
media	midiə	english	noun	media	1
memory	mɛməri	english	noun	memory	1
metal	mɛtəl	english	noun	metal	1
method	mɛθəd	english	noun	method	1
minute	mɪnɪt	english	noun	minute	1
modern	mɑdərn	english	noun	modern	1
moment	moʊmənt	english	noun	moment	1
music	mjuzɪk	english	noun	music	1
nation	neɪʃən	english	noun	nation	1
natural	nætʃərəl	english	noun	natural	1
number	nʌmbər	english	noun	number	1
object	ɑbdʒɛkt	english	noun	object	1
office	ɔfɪs	english	noun	office	1
opinion	əpɪnjən	english	noun	opinion	1
organization	ɔrɡənəzeɪʃən	english	noun	organization	1
paper	peɪpər	english	noun	paper	1
person	pɜrsən	english	noun	person	1
photo	foʊtoʊ	english	noun	photo	1
police	pəlis	english	noun	police	1
politics	pɑlətɪks	english	noun	politics	1
population	pɑpjəleɪʃən	english	noun	population	1
president	prɛzɪdənt	english	noun	president	1
problem	prɑbləm	english	noun	problem	1
product	prɑdəkt	english	noun	product	1
program	proʊɡræm	english	noun	program	1
radio	reɪdioʊ	english	noun	radio	1
region	ridʒən	english	noun	region	1
religion	rɪlɪdʒən	english	noun	religion	1
school	skul	english	noun	school	1
science	saɪəns	english	noun	science	1
situation	sɪtʃuəʃən	english	noun	situation	1
system	sɪstəm	english	noun	system	1
telephone	tɛləfoʊn	english	noun	telephone	1
television	tɛləvɪʒən	english	noun	television	1
tourist	tʊrɪst	english	noun	tourist	1
university	junəvɜrsəti	english	noun	university	1
vision	vɪʒən	english	noun	vision	1
about	əbaʊt	english	function	about	0
after	æftər	english	function	after	0
again	əɡeɪn	english	adverb	again	0
against	əɡeɪnst	english	function	against	0
all	ɔl	english	function	all	0
almost	ɔlmoʊst	english	adverb	almost	0
alone	əloʊn	english	adjective	alone	0
along	əlɔŋ	english	function	along	0
already	ɔlrɛdi	english	adverb	already	0
also	ɔlsoʊ	english	adverb	also	0
although	ɔlðoʊ	english	function	although	0
among	əmʌŋ	english	function	among	0
and	ænd	english	function	and	0
another	ənʌðər	english	function	another	0
any	ɛni	english	function	any	0
around	əraʊnd	english	function	around	0
as	æz	english	function	as	0
at	æt	english	function	at	0
away	əweɪ	english	function	away	0
back	bæk	english	noun	back	0
be	bi	english	verb	be	0
become	bɪkʌm	english	verb	become	0
before	bɪfɔr	english	function	before	0
begin	bɪɡɪn	english	verb	begin	0
behind	bɪhaɪnd	english	function	behind	0
believe	bɪliv	english	verb	believe	0
below	bɪloʊ	english	function	below	0
between	bɪtwin	english	function	between	0
beyond	bɪjɑnd	english	function	beyond	0
black	blæk	english	adjective	black	0
blood	blʌd	english	noun	blood	0
blow	bloʊ	english	verb	blow	0
blue	blu	english	adjective	blue	0
body	bɑdi	english	noun	body	0
both	boʊθ	english	function	both	0
break	breɪk	english	verb	break	0
bring	brɪŋ	english	verb	bring	0
brown	braʊn	english	adjective	brown	0
burn	bɜrn	english	verb	burn	0
but	bʌt	english	function	but	0
buy	baɪ	english	verb	buy	0
by	baɪ	english	function	by	0
can	kæn	english	verb	can	0
catch	kætʃ	english	verb	catch	0
clear	klɪr	english	adjective	clear	0
climb	klaɪm	english	verb	climb	0
come	kʌm	english	verb	come	0
cool	kul	english	adjective	cool	0
count	kaʊnt	english	verb	count	0
cover	kʌvər	english	verb	cover	0
cut	kʌt	english	verb	cut	0
dark	dɑrk	english	adjective	dark	0
dead	dɛd	english	adjective	dead	0
deep	dip	english	adjective	deep	0
dig	dɪɡ	english	verb	dig	0
do	du	english	verb	do	0
down	daʊn	english	function	down	0
drink	drɪŋk	english	verb	drink	0
drive	draɪv	english	verb	drive	0
drop	drɑp	english	verb	drop	0
dry	draɪ	english	adjective	dry	0
each	itʃ	english	function	each	0
early	ɜrli	english	adverb	early	0
east	ist	english	noun	east	0
edge	ɛdʒ	english	function	edge	0
end	ɛnd	english	noun	end	0
face	feɪs	english	noun	face	0
fall	fɔl	english	verb	fall	0
far	fɑr	english	adjective	far	0
fast	fæst	english	adjective	fast	0
fat	fæt	english	adjective	fat	0
fear	fɪr	english	noun	fear	0
feed	fid	english	verb	feed	0
feel	fil	english	verb	feel	0
few	fju	english	adverb	few	0
fight	faɪt	english	verb	fight	0
fill	fɪl	english	verb	fill	0
find	faɪnd	english	verb	find	0
first	fɜrst	english	adjective	first	0
five	faɪv	english	adjective	five	0
fly	flaɪ	english	verb	fly	0
follow	fɑloʊ	english	verb	follow	0
food	fud	english	noun	food	0
for	fɔr	english	function	for	0
four	fɔr	english	adjective	four	0
free	fri	english	adjective	free	0
from	frʌm	english	function	from	0
full	fʊl	english	adjective	full	0
get	ɡɛt	english	verb	get	0
go	ɡoʊ	english	verb	go	0
god	ɡɑd	english	noun	god	0
gold	ɡoʊld	english	function	gold	0
good	ɡʊd	english	adjective	good	0
green	ɡrin	english	adjective	green	0
hang	hæŋ	english	verb	hang	0
have	hæv	english	verb	have	0
he	hi	english	function	he	0
head	hɛd	english	noun	head	0
hear	hɪə	english	verb	hear	0
heavy	hɛvi	english	adjective	heavy	0
here	hɪə	english	function	here	0
high	haɪ	english	adjective	high	0
hold	hoʊld	english	verb	hold	0
home	hoʊm	english	noun	home	0
hope	hoʊp	english	noun	hope	0
horse	hɔrs	english	noun	horse	0
how	haʊ	english	function	how	0
hunt	hʌnt	english	verb	hunt	0
i	aɪ	english	function	i	0
if	ɪf	english	function	if	0
in	ɪn	english	function	in	0
into	ɪntu	english	function	into	0
it	ɪt	english	function	it	0
keep	kip	english	verb	keep	0
kill	kɪl	english	verb	kill	0
kind	kaɪnd	english	adjective	kind	0
king	kɪŋ	english	noun	king	0
know	noʊ	english	verb	know	0
land	lænd	english	noun	land	0
large	lɑrdʒ	english	adjective	large	0
last	læst	english	adjective	last	0
late	leɪt	english	adjective	late	0
laugh	læf	english	verb	laugh	0
lay	leɪ	english	verb	lay	0
lead	lid	english	verb	lead	0
leave	liv	english	verb	leave	0
left	lɛft	english	adjective	left	0
let	lɛt	english	verb	let	0
life	laɪf	english	noun	life	0
light	laɪt	english	noun	light	0
like	laɪk	english	function	like	0
little	lɪtəl	english	adjective	little	0
live	lɪv	english	verb	live	0
long	lɔŋ	english	adjective	long	0
look	lʊk	english	verb	look	0
low	loʊ	english	adjective	low	0
man	mæn	english	noun	man	0
many	mɛni	english	adjective	many	0
may	meɪ	english	verb	may	0
me	mi	english	function	me	0
meet	mit	english	verb	meet	0
might	maɪt	english	verb	might	0
moon	mun	english	noun	moon	0
more	mɔr	english	adverb	more	0
move	muv	english	verb	move	0
much	mʌtʃ	english	adverb	much	0
must	mʌst	english	verb	must	0
my	maɪ	english	function	my	0
near	nɪə	english	function	near	0
no	noʊ	english	function	no	0
not	nɒt	english	function	not	0
now	naʊ	english	function	now	0
of	ʌv	english	function	of	0
off	ɒf	english	adjective	off	0
on	ɒn	english	function	on	0
one	wʌn	english	adjective	one	0
only	oʊnli	english	adjective	only	0
or	ɔr	english	function	or	0
other	ʌðər	english	adjective	other	0
our	aʊər	english	function	our	0
out	aʊt	english	function	out	0
over	oʊvər	english	function	over	0
own	oʊn	english	verb	own	0
pull	pʊl	english	verb	pull	0
put	pʊt	english	verb	put	0
red	rɛd	english	adjective	red	0
right	raɪt	english	adjective	right	0
say	seɪ	english	verb	say	0
see	si	english	verb	see	0
seem	sim	english	verb	seem	0
sell	sɛl	english	verb	sell	0
send	sɛnd	english	verb	send	0
set	sɛt	english	verb	set	0
she	ʃi	english	function	she	0
show	ʃoʊ	english	verb	show	0
shut	ʃʌt	english	verb	shut	0
so	soʊ	english	function	so	0
some	sʌm	english	function	some	0
son	sʌn	english	noun	son	0
soon	sun	english	adverb	soon	0
start	stɑrt	english	verb	start	0
stay	steɪ	english	verb	stay	0
stop	stɒp	english	verb	stop	0
sun	sʌn	english	noun	sun	0
talk	tɔk	english	verb	talk	0
tell	tɛl	english	verb	tell	0
than	ðæn	english	function	than	0
that	ðæt	english	function	that	0
the	ði	english	function	the	0
them	ðɛm	english	function	them	0
then	ðɛn	english	function	then	0
there	ðɛər	english	function	there	0
they	ðeɪ	english	function	they	0
thing	θɪŋ	english	noun	thing	0
this	ðɪs	english	function	this	0
three	θri	english	adjective	three	0
through	θru	english	function	through	0
time	taɪm	english	noun	time	0
to	tu	english	function	to	0
today	tədeɪ	english	noun	today	0
too	tu	english	adverb	too	0
true	tru	english	adjective	true	0
try	traɪ	english	verb	try	0
turn	tɜrn	english	verb	turn	0
two	tu	english	adjective	two	0
under	ʌndər	english	function	under	0
understand	ʌndərstænd	english	verb	understand	0
up	ʌp	english	function	up	0
us	ʌs	english	function	us	0
use	juz	english	verb	use	0
very	vɛri	english	adverb	very	0
want	wɒnt	english	verb	want	0
warm	wɔrm	english	adjective	warm	0
was	wʌz	english	verb	was	0
water	wɔtər	english	noun	water	0
way	weɪ	english	noun	way	0
we	wi	english	function	we	0
well	wɛl	english	adjective	well	0
were	wɜr	english	verb	were	0
what	wɒt	english	function	what	0
when	wɛn	english	function	when	0
where	wɛər	english	function	where	0
which	wɪtʃ	english	function	which	0
white	waɪt	english	adjective	white	0
who	hu	english	function	who	0
why	waɪ	english	function	why	0
will	wɪl	english	verb	will	0
with	wɪð	english	function	with	0
woman	wʊmən	english	noun	woman	0
world	wɜrld	english	noun	world	0
would	wʊd	english	verb	would	0
yes	jɛs	english	function	yes	0
yet	jɛt	english	adverb	yet	0
you	ju	english	function	you	0
young	jʌŋ	english	adjective	young	0
helicopter	hɛlɪkɒptər	english	noun	helicopter	1
chocolate	tʃɒklət	english	noun	chocolate	1
violin	vaɪəlɪn	english	noun	violin	1
tennis	tɛnɪs	english	noun	tennis	1
microphone	maɪkrəfoʊn	english	noun	microphone	1
photograph	foʊtəgræf	english	noun	photograph	1
telephone	tɛlɪfoʊn	english	noun	telephone	1
democracy	dɪmɒkrəsi	english	noun	democracy	1
philosophy	fɪlɒsəfi	english	noun	philosophy	1
bicycle	baɪsɪkəl	english	noun	bicycle	1
computer	kəmpjutər	english	noun	computer	0
internet	ɪntərnɛt	english	noun	internet	0
sandwich	sænwɪtʃ	english	noun	sandwich	0
hamburger	hæmbɜrɡər	english	noun	hamburger	1
pizza	pitsə	english	noun	pizza	1
pasta	pæstə	english	noun	pasta	1
whiskey	wɪski	english	noun	whiskey	0
champagne	ʃæmpeɪn	english	noun	champagne	1
vodka	vɒdkə	english	noun	vodka	1
gin	dʒɪn	english	noun	gin	0
brandy	brændi	english	noun	brandy	1
rum	rʌm	english	noun	rum	0
tequila	tɛkilə	english	noun	tequila	1
sake	sɑke	english	noun	sake	1
kimono	kɪmoʊnoʊ	english	noun	kimono	1
judo	dʒudoʊ	english	noun	judo	1
karate	kərɑti	english	noun	karate	1
aikido	aɪkidoʊ	english	noun	aikido	1
sumo	sumoʊ	english	noun	sumo	1
tempura	tɛmpʊrə	english	noun	tempura	1
wasabi	wəsɑbi	english	noun	wasabi	1
sashimi	sɑʃimi	english	noun	sashimi	1
miso	misoʊ	english	noun	miso	1
typhoon	taɪfun	english	noun	typhoon	1
kamikaze	kɑmɪkɑzeɪ	english	noun	kamikaze	1
emoji	ɪmoʊdʒi	english	noun	emoji	1
sudoku	sudoku	english	noun	sudoku	1
tycoon	taɪkun	english	noun	tycoon	1
shogun	ʃoʊɡʌn	english	noun	shogun	1
rickshaw	rɪkʃɔ	english	noun	rickshaw	1
ginkgo	ɡɪŋkoʊ	english	noun	ginkgo	1
shiatsu	ʃiɑtsu	english	noun	shiatsu	1
kabuki	kɑbuki	english	noun	kabuki	1
kendo	kɛndoʊ	english	noun	kendo	1
bushido	buʃidoʊ	english	noun	bushido	1
zen	zɛn	english	noun	zen	1
wok	wɒk	english	noun	wok	1
yin_yang	jɪnjæŋ	english	noun	yin_yang	1
gong	ɡɒŋ	english	noun	gong	1
tango	tæŋɡoʊ	english	noun	tango	1
flamenco	flɑmɛŋkoʊ	english	noun	flamenco	1
samba	sæmbə	english	noun	samba	1
bossa_nova	bɒsənɔvə	english	noun	bossa_nova	1
salsa	sɑlsə	english	noun	salsa	1
rumba	rʌmbə	english	noun	rumba	1
mambo	mæmboʊ	english	noun	mambo	1
cha_cha	tʃɑtʃɑ	english	noun	cha_cha	1
conga	kɒŋɡə	english	noun	conga	1
merengue	mɛrɛŋɡeɪ	english	noun	merengue	1
reggae	rɛɡeɪ	english	noun	reggae	1
ska	skɑ	english	noun	ska	1
calypso	kəlɪpsoʊ	english	noun	calypso	1
mariachi	mɑriɑtʃi	english	noun	mariachi	1
fandango	fændæŋɡoʊ	english	noun	fandango	1
bolero	bəlɛroʊ	english	noun	bolero	1
habanera	hɑbənɛrə	english	noun	habanera	1
tarantella	tɑrɑntɛlə	english	noun	tarantella	1
polka	poʊlkə	english	noun	polka	1
waltz	wɔlts	english	noun	waltz	0
mazurka	məzɜrkə	english	noun	mazurka	1
folk	foʊk	english	noun	folk	0
jazz	dʒæz	english	noun	jazz	0
blues	bluz	english	noun	blues	0
gospel	ɡɒspəl	english	noun	gospel	0
soul	soʊl	english	noun	soul	0
funk	fʌŋk	english	noun	funk	0
disco	dɪskoʊ	english	noun	disco	1
techno	tɛknoʊ	english	noun	techno	0
hip_hop	hɪphɒp	english	noun	hip_hop	0
rap	ræp	english	noun	rap	0
grunge	ɡrʌndʒ	english	noun	grunge	0
punk	pʌŋk	english	noun	punk	0
pop	pɒp	english	noun	pop	0
country	kʌntri	english	noun	country	0
bluegrass	bluɡræs	english	noun	bluegrass	0
reggaeton	rɛɡeɪtoʊn	english	noun	reggaeton	1
bachata	bɑtʃɑtə	english	noun	bachata	1
kizomba	kɪzombə	english	noun	kizomba	1
zouk	zuk	english	noun	zouk	1
cumbia	kʌmbjə	english	noun	cumbia	1
vallenato	vɑjənɑtoʊ	english	noun	vallenato	1
fado	fɑdoʊ	english	noun	fado	1
sevillana	sɛvijɑnə	english	noun	sevillana	1
sardana	sɑrdɑnə	english	noun	sardana	1
jota	hoʊtə	english	noun	jota	1
muñeira	muɲejrə	english	noun	muñeira	1
aurresku	aʊrɛsku	english	noun	aurresku	1
cancan	kænkæn	english	noun	cancan	1
cabaret	kæbəreɪ	english	noun	cabaret	1
vaudeville	voʊdəvɪl	english	noun	vaudeville	1
burlesque	bɜrlɛsk	english	noun	burlesque	1
circus	sɜrkəs	english	noun	circus	1
rodeo	roʊdioʊ	english	noun	rodeo	1
carnival	kɑrnəvəl	english	noun	carnival	1
masquerade	mæskəreɪd	english	noun	masquerade	1
gala	ɡɑlə	english	noun	gala	1
premiere	prɪmjɛr	english	noun	premiere	1
encore	ɑŋkɔr	english	noun	encore	1
ovation	oʊveɪʃən	english	noun	ovation	1
maestro	maɪstroʊ	english	noun	maestro	1
virtuoso	vɜrtʃuoʊsoʊ	english	noun	virtuoso	1
crescendo	krɪʃɛndoʊ	english	noun	crescendo	1
diminuendo	dɪmɪnjuɛndoʊ	english	noun	diminuendo	1
fortissimo	fɔrtɪsɪmoʊ	english	noun	fortissimo	1
pianissimo	pjɑnɪsɪmoʊ	english	noun	pianissimo	1
allegro	əlɛɡroʊ	english	noun	allegro	1
andante	ændænti	english	noun	andante	1
adagio	ədɑdʒoʊ	english	noun	adagio	1
largo	lɑrɡoʊ	english	noun	largo	1
presto	prɛstoʊ	english	noun	presto	1
soprano	səprɑnoʊ	english	noun	soprano	1
alto	æltoʊ	english	noun	alto	1
tenor	tɛnər	english	noun	tenor	1
bass	beɪs	english	noun	bass	1
baritone	bærɪtoʊn	english	noun	baritone	1
falsetto	fɔlsɛtoʊ	english	noun	falsetto	1
vibrato	vaɪbrɑtoʊ	english	noun	vibrato	1
tremolo	trɛməloʊ	english	noun	tremolo	1
pizzicato	pɪtsɪkɑtoʊ	english	noun	pizzicato	1
staccato	stəkɑtoʊ	english	noun	staccato	1
legato	lɛɡɑtoʊ	english	noun	legato	1
glissando	ɡlɪsɑndoʊ	english	noun	glissando	1
arpeggio	ɑrpɛdʒoʊ	english	noun	arpeggio	1
cadenza	kədɛnzə	english	noun	cadenza	1
finale	fɪnɑleɪ	english	noun	finale	1
overture	oʊvərtʃər	english	noun	overture	1
prelude	preɪlud	english	noun	prelude	1
interlude	ɪntərlud	english	noun	interlude	1
coda	koʊdə	english	noun	coda	1
motif	moʊtif	english	noun	motif	1
theme	θim	english	noun	theme	1
variation	vɛrieɪʃən	english	noun	variation	1
improvisation	ɪmprəvaɪzeɪʃən	english	noun	improvisation	1
composition	kɒmpəzɪʃən	english	noun	composition	1
arrangement	əreɪndʒmənt	english	noun	arrangement	1
orchestration	ɔrkɪstreɪʃən	english	noun	orchestration	1
conductor	kəndʌktər	english	noun	conductor	1
soloist	soʊloʊɪst	english	noun	soloist	1
quartet	kwɔrtɛt	english	noun	quartet	1
